,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,households,median_income,rooms_per_household,bedrooms_per_room,population_per_household,ocean_proximity_1H_OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR_BAY,ocean_proximity_NEAR_OCEAN,median_house_value
0,-1.318450750247648,1.055896044151039,1.782406001096017,-0.5235763008422264,-0.4376905451397599,-0.43796509685843643,0.0257720724467066,-0.2586923605963876,0.3960807028426957,-0.9754147558867717,0.0,0.0,0.0,1.0,0.0,452600.0
1,-1.3381446569586433,1.8122133886995953,-1.0667877590361359,0.21867954271611273,-0.0052122121001624356,0.14884166932263812,-0.041467805266587,0.23338762665963514,-0.6777329337437138,0.17962710913850036,0.0,1.0,0.0,0.0,0.0,358500.0
2,0.6312460141408963,-0.7333167852745921,1.4294616842709948,-0.7108689142511683,-0.46675004551868393,-0.36925467505911624,-1.7091463214473128,-1.056290720561154,0.9143240640497582,2.0270099395592105,1.0,0.0,0.0,0.0,0.0,352100.0
3,0.8183381278953525,-0.8428405063366942,0.775112957054743,-0.665097640920283,-0.7385721877905795,-0.5792327106410251,-0.10051478591341192,-0.27814289050507995,-0.12443192809729141,-0.6331036421444224,1.0,0.0,0.0,0.0,0.0,341300.0
4,-0.7473274556287813,0.9661888865124942,-0.06716235934570998,-1.0939626370523603,-1.236269012269494,-1.2058411640059024,-0.5999349346272354,0.30336432331160235,-0.3544040998203405,-0.20690507403027147,0.0,1.0,0.0,0.0,0.0,342200.0
5,0.13889834636601148,-0.608539598236372,0.3989675373283316,-0.9561963875637269,-0.7733692961029904,-0.6079523439478496,-0.23463471130887698,-1.1474265981381981,0.7849769975323599,2.1737003421198,0.0,0.0,0.0,0.0,1.0,269700.0
6,-0.5799292485853205,-0.01414410354083646,-0.38876230360113745,-0.3883520490615398,-0.7885110795194854,-0.6519532268575344,0.99485930082165,0.7397930018954463,-1.356983808945783,-0.20048660834867313,0.0,0.0,0.0,0.0,1.0,299200.0
7,-1.249522076759164,1.1126037284401225,-0.6368746684346958,1.8774359245419157,1.8688680281819476,1.9230027503154807,0.48107848286990856,0.11678328595793053,-0.10245543848143343,-0.6315617181195246,0.0,0.0,0.0,1.0,0.0,241400.0
8,-0.757174408984279,0.7905712556074043,-0.8920529941226363,-0.8675247629595572,-0.7044939583142752,-0.7487623001599095,-1.1573362935489973,-0.40705891583147685,0.703531489889967,-0.8496572689347475,0.0,1.0,0.0,0.0,0.0,226700.0
9,0.966042428227818,-0.6891518207776922,0.7006788362371881,0.24841723422419393,0.05521076184259408,0.02014363088856018,-0.031675708002140916,0.6333025378954167,-0.5755803895035629,0.2560221410088632,0.0,1.0,0.0,0.0,0.0,261100.0
10,0.8183381278953525,-0.9088006084623752,-0.30743875242259355,1.3963716701143,1.3685384737870854,1.474016250944833,0.5870646067965898,-0.0015728501307277077,-0.1261347289133065,1.1595076302955278,1.0,0.0,0.0,0.0,0.0,281500.0
11,-0.855643942539256,1.045731217269594,-1.2458651762712885,-2.1606740228240766,-1.9875445035088308,-2.039504102933459,-1.5910200471923388,-0.6143182567228933,1.0794051440845072,0.5139624649203669,0.0,1.0,0.0,0.0,0.0,241800.0
12,1.2811449356037443,-1.5035958164471268,-1.6203621777910429,-0.10322963721908789,-0.4963080394895633,-0.5277876775075483,1.6325882779967293,1.1517041588302415,-1.297169914754126,-0.0537483899749926,1.0,0.0,0.0,0.0,0.0,213500.0
13,1.261451028892749,-0.2204850297942665,-0.5534436924261907,0.5986682027190618,0.5990143606696289,0.3833544091826302,-0.8606513327187335,0.6039976854006709,0.005692946335054576,0.03973985551730178,0.0,1.0,0.0,0.0,0.0,
